,pl_name,# name,ra_x,ra_y,dec_x,dec_y,st_vj,mag_v,pl_bmassj,mass_sini,pl_radj,radius,pl_orbper,orbital_period,pl_orbsmax,semi_major_axis,pl_orbeccen,eccentricity,pl_def_reflink,pl_disc_reflink,checked_coords,min_distance
122,hd220842b,hd220842b,351.654114,351.654166679,56.886528000000006,56.886666686999995,7.99,7.99,3.18,3.18,,,218.47,218.47,0.74,0.74,0.404,0.40399999999999997,"<a refstr=""H&EACUTE;BRARD ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A.145H target=ref>H&eacute;brard et al. 2016</a>","<a refstr=""H&EACUTE;BRARD ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A.145H target=ref>H&eacute;brard et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 351.654114,  56.886528)>",18530.889585475677
123,hd221585b,hd221585b,353.225189,353.225000018,63.155483,63.1554805629,7.465,7.474,1.61,1.61,,,1173.0,1173.0,2.306,2.306,0.123,0.12300000000000001,"<a refstr=""D&IACUTE;AZ ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...591A.146D target=ref>D&iacute;az et al. 2016</a>","<a refstr=""D&IACUTE;AZ ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...591A.146D target=ref>D&iacute;az et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 353.225189,  63.155483)>",51033.071751546806
124,hd222076b,hd222076b,354.533112,354.533333336,-70.903358,-70.903333354,7.459,7.48,1.56,1.56,,,871.0,871.0,1.83,1.83,0.08,0.08,"<a refstr=""WITTENMYER ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153...51W target=ref>Wittenmyer et al. 2017</a>","<a refstr=""WITTENMYER ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153...51W target=ref>Wittenmyer et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 354.533112, -70.903358)>",103845.87936412888
125,hd224538b,hd224538b,359.715668,359.716666684,-61.586773,-61.586666681000004,8.06,8.06,5.97,5.97,,,1189.1,1189.1,2.28,2.28,0.464,0.46399999999999997,"<a refstr=""JENKINS ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017MNRAS.466..443J target=ref>Jenkins et al. 2017</a>","<a refstr=""JENKINS ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017MNRAS.466..443J target=ref>Jenkins et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 359.715668, -61.586773)>",73119.03430693109
126,hd233604b,hd233604b,137.45338,137.4542,53.56823000000001,53.5681,10.405999999999999,10.41,6.575,6.575,,,192.0,192.0,0.747,0.747,0.05,0.05,"<a refstr=""NOWAK ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013ApJ...770...53N target=ref> Nowak et al. 2013 </a>","<a refstr=""NOWAK ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013ApJ...770...53N target=ref> Nowak et al. 2013 </a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 137.45338,  53.56823)>",108753.0622400768
127,hd238914b,hd238914b,279.584229,279.58333334,59.253856999999996,59.253888896999996,8.79,12.0,6.0,6.0,,,4100.0,4100.0,5.7,5.7,0.56,0.56,"<a refstr=""ADAMOW ET AL. 2018"" href=http://adsabs.harvard.edu/abs/2018arXiv180104379A target=ref>Adamow et al. 2018</a>","<a refstr=""ADAMOW ET AL. 2018"" href=http://adsabs.harvard.edu/abs/2018arXiv180104379A target=ref>Adamow et al. 2018</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 279.584229,  59.253857)>",8838.533931942393
131,hd29021b,hd29021b,69.46759,69.4675000174,60.676196999999995,60.6761944654,7.76,7.76,2.4,2.4,,,1362.3,1362.3,2.28,2.28,0.459,0.45899999999999996,"<a refstr=""REY ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...601A...9R target=ref>Rey et al. 2017</a>","<a refstr=""REY ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...601A...9R target=ref>Rey et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 69.46759,  60.676197)>",150210.02258821696
133,hd30669b,hd30669b,72.11869,72.120833343,-28.419297999999998,-28.419166677,9.11,9.11,0.47,0.47,,,1684.0,1684.0,2.69,2.69,0.18,0.18,"<a refstr=""MOUTOU ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>","<a refstr=""MOUTOU ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 72.11869, -28.419298)>",14655.613677632942
134,hd3167b,hd3167b,8.739684,8.73966668584,4.381469,4.3814722414,8.94,8.94,0.015790000000000002,,0.152,0.152,0.959641,0.959641,0.01815,0.01815,0.0,,"<a refstr=""CHRISTIANSEN ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..122C target=ref>Christiansen et al. 2017</a>","<a refstr=""VANDERBURG ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...829L...9V target=ref>Vanderburg et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 8.739684,  4.381469)>",36792.783107781244
135,hd3167c,hd3167c,8.739684,8.73966668584,4.381469,4.3814722414,8.94,8.94,0.03083,,0.26899999999999996,0.26899999999999996,29.8454,29.8454,0.1795,0.1795,0.267,0.267,"<a refstr=""CHRISTIANSEN ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..122C target=ref>Christiansen et al. 2017</a>","<a refstr=""VANDERBURG ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...829L...9V target=ref>Vanderburg et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 8.739684,  4.381469)>",36792.783107781244
