,pl_name,# name,ra_x,ra_y,dec_x,dec_y,st_vj,mag_v,pl_bmassj,mass_sini,pl_radj,radius,pl_orbper,orbital_period,pl_orbsmax,semi_major_axis,pl_orbeccen,eccentricity,pl_def_reflink,pl_disc_reflink,checked_coords,min_distance
199,k2141b,k2141b,350.916534,350.91666668,-1.189274,-1.189166675,11.389000000000001,11.5,0.01598,,0.135,0.135,0.2803244,0.28032440000000003,,,0.0,0.0,"<a refstr=""MALAVOLTA ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..107M target=ref>Malavolta et al. 2018</a>","<a refstr=""MALAVOLTA ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..107M target=ref>Malavolta et al. 2018</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 350.916534, -1.189274)>",35489.58683648276
200,k2141c,k2141c,350.916534,350.91666668,-1.189274,-1.189166675,11.389000000000001,11.5,0.023280000000000002,,0.624,0.62,7.7485,7.7485,,,0.0,0.0,"<a refstr=""MALAVOLTA ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..107M target=ref>Malavolta et al. 2018</a>","<a refstr=""MALAVOLTA ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..107M target=ref>Malavolta et al. 2018</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 350.916534, -1.189274)>",35489.58683648276
201,k215b,k215b,178.110794,178.110796,4.254747,4.254747,14.663,,,,0.221,0.221,11.8104,11.8104,0.091,0.091,,,"<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 178.110794,  4.254747)>",59041.9021563514
202,k216b,k216b,175.09726,175.097250008,4.55734,4.5573333501999995,14.67,14.298,,,0.18,0.18,7.6188,7.6188,0.0667,0.0662,,,"<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 175.09726,  4.55734)>",6935.346287652019
203,k216c,k216c,175.09726,175.097250008,4.55734,4.5573333501999995,14.67,14.298,,,0.22699999999999998,0.22699999999999998,19.07863,19.07863,0.1229,0.122,,,"<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 175.09726,  4.55734)>",6935.346287652019
204,k217b,k217b,178.329773,178.329776,6.412261,6.412261,13.519,,,,0.19899999999999998,0.19899999999999998,17.96753,17.96753,0.119,0.11900000000000001,,,"<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 178.329773,  6.412261)>",66750.60581018007
205,k218b,k218b,172.56045500000002,172.560461,7.5883910000000006,7.5883910000000006,13.495999999999999,,0.02504,,0.212,0.2,32.93963,32.93963,0.143,0.14300000000000002,0.43,0.43,"<a refstr=""CLOUTIER ET AL. 2017"" href=http://adsabs.harvard.edu/abs/2017A&A...608A..35C target=ref>Cloutier et al. 2017</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 172.560455,  7.588391)>",16786.38416047036
206,k218c,k218c,172.56045500000002,172.560461,7.5883910000000006,7.5883910000000006,13.495999999999999,,0.02363,0.0236,,,8.962,8.962,0.06,0.06,0.47,0.47,"<a refstr=""CLOUTIER ET AL. 2017"" href=http://adsabs.harvard.edu/abs/2017A&A...608A..35C target=ref>Cloutier et al. 2017</a>","<a refstr=""CLOUTIER ET AL. 2017"" href=http://adsabs.harvard.edu/abs/2017A&A...608A..35C target=ref>Cloutier et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 172.560455,  7.588391)>",16786.38416047036
207,k219b,k219b,174.96031200000002,174.96033335,0.603575,0.6035833482,13.0,12.806,,0.187,0.691,0.691,7.9194,7.9194,0.074,0.077,,0.11900000000000001,"<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<a refstr=""DAI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...823..115D target=ref>Dai et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 174.960312,  0.603575)>",19623.092199444432
208,k219c,k219c,174.96031200000002,174.96033335,0.603575,0.6035833482,13.0,12.806,,,0.434,0.434,11.90715,11.90715,0.0971,0.1032,,0.095,"<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<a refstr=""DAI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...823..115D target=ref>Dai et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 174.960312,  0.603575)>",19623.092199444432
209,k219d,k219d,174.96031200000002,174.96033335,0.603575,0.6035833482,13.0,12.806,,,0.102,0.102,2.50856,2.5085599999999997,0.0344,,,,"<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<a refstr=""DAI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...823..115D target=ref>Dai et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 174.960312,  0.603575)>",19623.092199444432
210,k2216b,k2216b,11.480249,11.479166685,6.346971,6.346944462000001,12.475999999999999,12.48,,,0.15,0.161,2.174789,2.1747900000000002,,0.027999999999999997,,0.0,"<a refstr=""MAYO ET AL. 2018"" href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>","<a refstr=""MAYO ET AL. 2018"" href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 11.480249,  6.346971)>",5397.482657583294
211,k224b,k224b,242.573715,242.57500000599998,-24.990332000000002,-24.990277803,11.07,11.648,,0.0661,0.52,0.52,20.88508,20.8851,0.1542,0.154,,,"<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<a refstr=""PETIGURA ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...818...36P target=ref>Petigura et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 242.573715, -24.990332)>",7590.888820109626
212,k224c,k224c,242.573715,242.57500000599998,-24.990332000000002,-24.990277803,11.07,11.648,,0.085,0.723,0.723,42.36342,42.36342,0.2471,0.247,,,"<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<a refstr=""PETIGURA ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...818...36P target=ref>Petigura et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 242.573715, -24.990332)>",7590.888820109626
213,k226b,k226b,94.206581,94.20833335,24.596411,24.595833355,14.53,13.0,,,0.23800000000000002,0.23800000000000002,14.5665,14.5665,0.0962,,,,"<a refstr=""SCHLIEDER ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...818...87S target=ref>Schlieder et al. 2016</a>","<a refstr=""SCHLIEDER ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...818...87S target=ref>Schlieder et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 94.206581,  24.596411)>",59421.54999981764
214,k227b,k227b,171.515167,171.516666668,1.2307379999999999,0.330833349,12.64,,0.09722,,0.4,0.397,6.771315,6.77145,0.06702000000000001,,0.251,0.25,"<a refstr=""PETIGURA ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..142P target=ref>Petigura et al. 2017</a>","<a refstr=""VAN EYLEN ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...820...56V target=ref>Van Eylen et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 171.515167,  1.230738)>",6422.964575588546
215,k228b,k228b,335.62439,335.62450001,-7.955366000000001,-7.9554305789,16.061,,,,0.207,0.207,2.260455,2.260455,0.0214,0.0214,0.0,,"<a refstr=""HIRANO ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...820...41H target=ref>Hirano et al. 2016</a>","<a refstr=""HIRANO ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...820...41H target=ref>Hirano et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 335.62439, -7.955366)>",33746.24545909321
216,k229b,k229b,62.670646999999995,62.670833347,24.402042,24.401944454000002,12.526,,0.73,0.73,1.19,1.19,3.2588321,3.2588321,0.04217,0.04217,0.066,0.066,"<a refstr=""SANTERNE ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...824...55S target=ref>Santerne et al. 2016</a>","<a refstr=""SANTERNE ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...824...55S target=ref>Santerne et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 62.670647,  24.402042)>",32787.5988305685
217,k230b,k230b,52.341961,52.341666673999995,22.299404,22.299444463,13.53,13.5,0.579,0.623,1.0390000000000001,1.196,4.098503,4.098507,0.048389999999999996,0.04986,0.0,0.027000000000000003,"<a refstr=""JOHNSON ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....151..171J target=ref>Johnson et al. 2016</a>","<a refstr=""JOHNSON ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....151..171J target=ref>Johnson et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 52.341961,  22.299404)>",114371.19840297234
218,k231b,k231b,245.44075,245.440837515,-23.547864999999998,-23.547866689,10.775,10.8,1.774,,1.06,1.06,1.25785,1.25785,0.022,0.022000000000000002,0.0,,"<a refstr=""GRZIWA ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152..132G target=ref>Grziwa et al. 2016</a>","<a refstr=""DAI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...823..115D target=ref>Dai et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 245.44075, -23.547865)>",56348.80656506464
219,k232b,k232b,252.426086,252.426112514,-19.542822,-19.542800018199998,12.31,12.31,0.051910000000000005,,0.45799999999999996,0.48,8.99213,8.992180000000001,0.08036,0.0808,0.0,0.21,"<a refstr=""PETIGURA ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..142P target=ref>Petigura et al. 2017</a>","<a refstr=""DAI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...823..115D target=ref>Dai et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 252.426086, -19.542822)>",113515.77972358845
220,k232c,k232c,252.426086,252.426112514,-19.542822,-19.542800018199998,12.31,12.31,0.03807,,0.26899999999999996,0.31,20.6602,20.65614,0.1399,0.1407,0.0,,"<a refstr=""PETIGURA ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..142P target=ref>Petigura et al. 2017</a>","<a refstr=""DAI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...823..115D target=ref>Dai et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 252.426086, -19.542822)>",113515.77972358845
221,k232d,k232d,252.426086,252.426112514,-19.542822,-19.542800018199998,12.31,12.31,0.03241,,0.306,0.335,31.7154,31.71922,0.1862,0.1873,0.0,,"<a refstr=""PETIGURA ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..142P target=ref>Petigura et al. 2017</a>","<a refstr=""DAI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...823..115D target=ref>Dai et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 252.426086, -19.542822)>",113515.77972358845
222,k233b,k233b,242.561401,242.562500005,-19.319273000000003,-19.319166675,15.714,16.0,3.7,,0.45,0.451,5.424865,5.42513,,0.0409,0.0,0.0,"<a refstr=""MANN ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...61M target=ref>Mann et al. 2016</a>","<a refstr=""DAVID ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016Natur.534..658D target=ref>David et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 242.561401, -19.319273)>",2626.9909972163655
223,k234b,k234b,127.578773,127.57916667299999,22.235909,22.23583334,11.548,11.5,1.11,1.76,1.07,1.35,2.99561,2.995607,,0.04419,0.0,0.0,"<a refstr=""STASSUN ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>","<a refstr=""HIRANO ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...825...53H target=ref>Hirano et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 127.578773,  22.235909)>",85756.90744565471
224,k235b,k235b,170.10308799999999,170.103079175,1.2859559999999999,1.28595556332,14.35,,,,0.172,0.0964,5.608352,2.3999099999999998,0.055,0.0306,0.12,,"<a refstr=""DRESSING ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>","<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 170.103088,  1.285956)>",5292.685867736932
225,k235c,k235c,170.10308799999999,170.103079175,1.2859559999999999,1.28595556332,14.35,,,,0.11800000000000001,0.151,2.399964,5.6090599999999995,0.031,0.0539,0.13,,"<a refstr=""DRESSING ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>","<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 170.103088,  1.285956)>",5292.685867736932
226,k239b,k239b,338.368378,339.86666667599997,-9.022769,-9.022777782999999,10.83,10.83,0.09,,0.56,0.73,4.60543,4.60543,,0.062,0.0,0.152,"<a refstr=""STASSUN ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>","<a refstr=""VAN EYLEN ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152..143V target=ref>Van Eylen et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 338.368378, -9.022769)>",140356.42803817056
227,k24b,k24b,174.74563600000002,174.74562502,-3.905585,-3.9055833557999997,14.907,,,,0.187,0.21100000000000002,10.003417,10.00329,0.078,0.0777,0.08,,"<a refstr=""DRESSING ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 174.745636, -3.905585)>",4150.453349689691
228,k25b,k25b,169.303497,169.303502,-1.8779759999999999,-1.8779759999999999,14.91,,,,0.17,0.171,5.73594,5.73491,0.0532,0.0509,,,"<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 169.303497, -1.877976)>",16202.179058339905
229,k25c,k25c,169.303497,169.303502,-1.8779759999999999,-1.8779759999999999,14.91,,,,0.20199999999999999,0.171,10.93241,10.93406,0.0818,0.0783,,,"<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 169.303497, -1.877976)>",16202.179058339905
230,k255b,k255b,333.751923,333.75,-17.250708,-17.250833339,13.546,13.6,,,0.341,0.3952,2.849258,2.849275,0.03486,0.0347,,0.124,"<a refstr=""CROSSFIELD ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>","<a refstr=""CROSSFIELD ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 333.751923, -17.250708)>",35264.67352032841
231,k26b,k26b,178.192261,178.19226,-1.198477,-1.198477,12.654000000000002,,,,0.223,0.223,30.94191,30.941909999999996,0.1898,0.1898,,,"<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 178.192261, -1.198477)>",39448.786302298075
232,k260b,k260b,338.606171,338.606208342,-13.731701999999999,-13.731702804100001,12.789000000000001,,0.426,,0.6829999999999999,0.6829999999999999,3.00265,3.00265,0.045,0.045,0.0,,"<a refstr=""EIGM&UUML;LLER ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..130E target=ref>Eigm&uuml;ller et al. 2017</a>","<a refstr=""CROSSFIELD ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 338.606171, -13.731702)>",123424.73239235395
233,k266b,k266b,331.526703,331.526700002,-10.711549,-10.711550023200001,11.71,11.71,0.06702000000000001,,0.222,0.222,5.06963,5.06963,0.059829999999999994,0.059829999999999994,,,"<a refstr=""SINUKOFF ET AL. 2017"" href=http://adsabs.harvard.edu/abs/2017AJ....153..271S target=ref>Sinukoff et al. 2017</a>","<a refstr=""CROSSFIELD ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 331.526703, -10.711549)>",4842.090404336605
234,k27b,k27b,167.093765,167.093771,-1.065755,-1.065755,13.213,,,,0.23800000000000002,0.23800000000000002,28.67992,28.679920000000003,0.1814,0.1814,,,"<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 167.093765, -1.065755)>",6151.394673464216
235,k277b,k277b,55.228428,55.2284166849,12.572612,12.5726111272,12.158,12.158,1.9,1.9,0.205,0.205,8.199796,8.199796000000001,,,0.14,0.14,"<a refstr=""GAIDOS ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017MNRAS.464..850G target=ref>Gaidos et al. 2017</a>","<a refstr=""CROSSFIELD ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 55.228428,  12.572612)>",69314.10566111424
236,k28b,k28b,169.793671,169.79366667,-0.284375,-0.2843888954,14.61,14.384,,,0.319,0.319,10.35239,10.35239,0.0856,0.0856,,,"<a refstr=""SINUKOFF ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...827...78S target=ref>Sinukoff et al. 2016</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 169.793671, -0.284375)>",10512.06638034571
237,k29b,k29b,176.264465,176.264467,0.005301,0.005301,15.63,,,,0.201,0.14300000000000002,18.4498,18.448829999999997,0.091,0.0848,,,"<a refstr=""SCHLIEDER ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...818...87S target=ref>Schlieder et al. 2016</a>","<a refstr=""MONTET ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 176.264465,  0.005301)>",10156.013260533788
238,k295b,k295b,129.36274699999998,129.362741676,18.976685,18.9766861385,,17.1,0.03458,,0.31,0.33,10.13389,10.134588,0.0653,0.0653,,0.16,"<a refstr=""OBERMEIER ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152..223O target=ref>Obermeier et al. 2016</a>","<a refstr=""OBERMEIER ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152..223O target=ref>Obermeier et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 129.362747,  18.976685)>",4173.4399209990825
239,k297b,k297b,127.762833,127.76285416799999,10.847586,10.8475916947,12.610999999999999,,1.1,,1.31,1.31,8.4061,8.4061,,,,,"<a refstr=""GRUNBLATT ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152..185G target=ref>Grunblatt et al. 2016</a>","<a refstr=""GRUNBLATT ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152..185G target=ref>Grunblatt et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 127.762833,  10.847586)>",44776.811820945324
240,k299b,k299b,208.773743,208.773750002,-5.4424660000000005,-5.442466682640001,11.149000000000001,11.149000000000001,0.97,,1.29,1.29,18.249,18.249000000000002,0.159,0.159,0.19,0.19,"<a refstr=""SMITH ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017MNRAS.464.2708S target=ref>Smith et al. 2017</a>","<a refstr=""SMITH ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017MNRAS.464.2708S target=ref>Smith et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 208.773743, -5.442466)>",6327.335827145985
241,kelt10b,kelt10b,284.548373,284.54583333700003,-47.003242,-47.003333336000004,10.854000000000001,10.8,0.679,0.679,1.399,1.399,4.1662739,4.166285,0.0525,0.0525,,,"<a refstr=""KUHN ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016MNRAS.459.4281K target=ref>Kuhn et al. 2016</a>","<a refstr=""KUHN ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016MNRAS.459.4281K target=ref>Kuhn et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 284.548373, -47.003242)>",82589.82402290903
242,kelt11b,kelt11b,161.70726000000002,161.70833335,-9.399025,-9.399166687000001,8.037,8.0,0.195,,1.37,1.37,4.736529,4.736529,0.06229,0.06229,0.0,0.0,"<a refstr=""PEPPER ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..215P target=ref>Pepper et al. 2017</a>","<a refstr=""PEPPER ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..215P target=ref>Pepper et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 161.70726, -9.399025)>",26224.79018301695
